1.01,M+H
15.007276,M+CH2+H
22.99,M+Na
29.007276,M+2CH2+H
36.989218,M+CH2+Na
38.96,M+K
50.989218,M+2CH2+Na
52.963158,M+CH2+K
66.963158,M+2CH2+K
